Sample	Raw_Seq_Num	Raw_bases_Num(Gbp)	Clean_Seq_Num	Clean_bases_Num(Gbp)	UniVec_Seq_Num	rRNA_Seq_Num	miRNA_Seq_Num	tRNA_Seq_Num	piRNA_Seq_Num
SRR10822559	66144156	9.14	66141276 (100.0%)	9.0	76644 (0.12%)	27388 (0.04%)	80 (0.0%)	56 (0.0%)	1876 (0.0%)
SRR10822560	77127692	10.73	77123706 (99.99%)	10.5	39036 (0.05%)	38758 (0.05%)	78 (0.0%)	154 (0.0%)	2170 (0.0%)
SRR10822561	74212610	9.64	74209200 (100.0%)	9.5	180042 (0.24%)	83822 (0.11%)	114 (0.0%)	292 (0.0%)	3402 (0.0%)
SRR10822562	76207052	9.67	76203608 (100.0%)	9.5	138792 (0.18%)	17864 (0.02%)	90 (0.0%)	22 (0.0%)	2216 (0.0%)
SRR10822563	63899000	8.77	63896072 (100.0%)	8.7	47752 (0.07%)	125886 (0.2%)	198 (0.0%)	30 (0.0%)	1378 (0.0%)
SRR10822564	66827972	9.24	66823890 (99.99%)	9.1	108562 (0.16%)	51382 (0.08%)	100 (0.0%)	34 (0.0%)	1128 (0.0%)
SRR10822566	78943032	10.85	78938902 (99.99%)	10.7	83428 (0.11%)	102240 (0.13%)	198 (0.0%)	120 (0.0%)	1442 (0.0%)
SRR10822567	76449964	10.26	76446572 (100.0%)	10.1	278284 (0.36%)	82700 (0.11%)	418 (0.0%)	68 (0.0%)	2602 (0.0%)
SRR10822568	69919914	9.69	69916188 (99.99%)	9.5	121366 (0.17%)	83406 (0.12%)	114 (0.0%)	136 (0.0%)	1562 (0.0%)
SRR10822569	73489862	9.7	73486732 (100.0%)	9.6	43272 (0.06%)	69932 (0.1%)	868 (0.0%)	284 (0.0%)	2518 (0.0%)
SRR10822570	62910640	8.27	62908534 (100.0%)	8.1	60044 (0.1%)	25490 (0.04%)	62 (0.0%)	70 (0.0%)	2618 (0.0%)
SRR14506725	65522632	9.83	64086348 (97.81%)	8.4	405698 (0.63%)	31756 (0.05%)	576 (0.0%)	474 (0.0%)	16774 (0.03%)
SRR14506726	75657250	11.35	75410922 (99.67%)	9.8	521240 (0.69%)	52368 (0.07%)	1554 (0.0%)	120 (0.0%)	5610 (0.01%)
SRR14506727	82166702	12.33	79107132 (96.28%)	10.9	1009418 (1.28%)	14812 (0.02%)	1454 (0.0%)	180 (0.0%)	26688 (0.03%)
SRR14506728	69609652	10.44	67050330 (96.32%)	9.1	268216 (0.4%)	95400 (0.14%)	1576 (0.0%)	0 (0.0%)	60260 (0.09%)
SRR14506729	139173444	20.88	138858950 (99.77%)	17.5	11945556 (8.6%)	37352 (0.03%)	1774 (0.0%)	50 (0.0%)	5894 (0.0%)
SRR14506730	76679158	11.5	76182960 (99.35%)	10.0	1103884 (1.45%)	70314 (0.09%)	1202 (0.0%)	452 (0.0%)	9888 (0.01%)
SRR14506731	96036608	14.41	95765870 (99.72%)	11.0	4022432 (4.2%)	43990 (0.05%)	12902 (0.01%)	310 (0.0%)	40468 (0.04%)
SRR14506732	155401036	23.31	154970972 (99.72%)	20.0	11829546 (7.63%)	80444 (0.06%)	1126 (0.0%)	126 (0.0%)	11022 (0.01%)
SRR14506733	60072130	9.01	58697910 (97.71%)	8.2	82700 (0.14%)	113818 (0.19%)	162 (0.0%)	18 (0.0%)	6244 (0.01%)
SRR14506734	64575004	9.69	63685804 (98.62%)	8.7	184346 (0.29%)	81326 (0.13%)	304 (0.0%)	52 (0.0%)	7778 (0.01%)
SRR14506735	66020086	9.9	64455640 (97.63%)	9.0	105496 (0.16%)	78802 (0.12%)	178 (0.0%)	94 (0.0%)	6260 (0.01%)
SRR14506736	66572242	9.99	65636060 (98.59%)	8.6	477900 (0.73%)	96486 (0.15%)	2232 (0.0%)	632 (0.0%)	36672 (0.06%)
SRR14506737	51097656	7.66	50726412 (99.27%)	6.8	432120 (0.85%)	67860 (0.13%)	2826 (0.01%)	12 (0.0%)	56952 (0.11%)
SRR14506738	60438886	9.07	59988164 (99.25%)	7.2	1014556 (1.69%)	59324 (0.1%)	1646 (0.0%)	196 (0.0%)	29456 (0.05%)
SRR14506739	52128768	7.82	51899534 (99.56%)	6.0	219656 (0.42%)	18374 (0.04%)	4380 (0.01%)	18 (0.0%)	35130 (0.07%)
SRR14506740	79050858	11.86	77483326 (98.02%)	10.7	430840 (0.56%)	61544 (0.08%)	1114 (0.0%)	56 (0.0%)	34448 (0.04%)
SRR14506741	51331498	7.7	50665512 (98.7%)	6.4	185638 (0.37%)	132896 (0.26%)	3822 (0.01%)	392 (0.0%)	75008 (0.15%)
SRR14506742	75500860	11.33	74426268 (98.58%)	10.0	788334 (1.06%)	84446 (0.11%)	2238 (0.0%)	138 (0.0%)	43486 (0.06%)
SRR14506743	85814512	12.87	84278008 (98.21%)	11.4	1156490 (1.37%)	97044 (0.12%)	3450 (0.0%)	248 (0.0%)	88828 (0.11%)
SRR14506744	85302458	12.8	84411230 (98.96%)	11.0	1112218 (1.32%)	126484 (0.15%)	2314 (0.0%)	408 (0.0%)	31154 (0.04%)
SRR14506745	74406000	11.16	74012256 (99.47%)	10.1	37056 (0.05%)	47034 (0.06%)	784 (0.0%)	96 (0.0%)	18040 (0.02%)
SRR14506746	44802736	6.72	43721244 (97.59%)	5.2	175132 (0.4%)	113148 (0.26%)	12696 (0.03%)	34 (0.0%)	258828 (0.6%)
SRR14506747	43797242	6.57	43557010 (99.45%)	5.8	154070 (0.35%)	22244 (0.05%)	756 (0.0%)	6 (0.0%)	8558 (0.02%)
SRR14506748	66502376	9.98	63306264 (95.19%)	7.4	1699224 (2.68%)	157254 (0.26%)	35608 (0.06%)	780 (0.0%)	888080 (1.45%)
SRR14506749	54151856	8.12	51363062 (94.85%)	6.2	1201624 (2.34%)	67284 (0.13%)	18294 (0.04%)	142 (0.0%)	313686 (0.63%)
SRR14506750	58058200	8.71	56345262 (97.05%)	6.9	264204 (0.47%)	107152 (0.19%)	10664 (0.02%)	240 (0.0%)	231548 (0.41%)
SRR14506751	57548900	8.63	54701574 (95.05%)	6.4	882794 (1.61%)	155290 (0.29%)	22222 (0.04%)	478 (0.0%)	453122 (0.84%)
